logT,logN,CC,Accuracy
-4.85,0.30000000000000004,0.00035781757858591016,0.5010956489539783
-4.85,0.4,0.00023048471602569087,0.5006434193965166
-4.85,0.5,0.00013891388975888604,0.5003538496016536
-4.85,0.6,7.777825283768582e-5,0.5001810203191203
-4.85,0.7000000000000001,4.014009833878051e-5,0.5000855087329379
-4.85,0.8000000000000002,1.8931420482827033e-5,0.5000369946118188
-4.85,0.9,8.083314071406791e-6,0.5000145288144437
-4.85,1.0,3.0925348291130108e-6,0.5000051288289471
-4.85,1.1,1.0481792942981044e-6,0.5000016099425154
-4.85,1.2,3.108362153174466e-7,0.5000004440647353
-4.85,1.3,7.956408615219594e-8,0.5000001062303778
-4.85,1.4,1.7315835953855768e-8,0.5000000217254296
-4.85,1.5,3.0372391068826e-9,0.5000000037387041
-4.85,1.6,4.52493180218565e-10,0.500000000532006
-4.85,1.7,5.431967272896981e-11,0.5000000000614012
-4.85,1.8,5.14354399057575e-12,0.5000000000056266
-4.85,1.9,3.7521786071708425e-13,0.5000000000003998
-4.85,2.0,2.07852010161895e-14,0.5000000000000215
-4.85,2.1,9.290130160377942e-16,0.5000000000000009
-4.85,2.2,2.3740267338207543e-17,0.5
-4.85,2.3,4.557532399843298e-19,0.5
-4.85,2.4,5.773260265682313e-21,0.5
-4.85,2.5,4.619243090469237e-23,0.5
-4.85,2.6,2.2242972564588363e-25,0.5
-4.85,2.7,6.1107436278748445e-28,0.5
-4.85,2.8,9.029052802710821e-31,0.5
-4.85,2.9,6.722163946722427e-34,0.5
-4.85,3.0,2.3463207344791126e-37,0.5
-4.85,3.1,3.545495931445394e-41,0.5
-4.85,3.2,2.1239240619989222e-45,0.5
-4.85,3.3,4.576282014243032e-50,0.5
-4.85,3.4,3.1848810206852107e-55,0.5
-4.85,3.5,6.357159306529746e-61,0.5
-4.85,3.6,3.1913659734066235e-67,0.5
-4.85,3.7,3.484884453361926e-74,0.5
-4.85,3.8,7.050541876299022e-82,0.5
-4.85,3.9,2.2134777148586304e-90,0.5
-4.85,4.0,8.864290878480101e-100,0.5
-4.85,4.1,3.6465013748930266e-110,0.5
-4.85,4.2,1.2129085269897844e-121,0.5
-4.85,4.3,2.5039337617161297e-134,0.5
-4.85,4.4,2.3949858093749283e-148,0.5
-4.85,4.5,7.68348608732308e-164,0.5
-4.85,4.6,5.785252600368053e-181,0.5
-4.85,4.7,6.890010669857922e-200,0.5
-4.85,4.8,8.391744182853718e-221,0.5
-4.85,4.9,6.455075560804655e-244,0.5
-4.85,5.0,1.8409203024940386e-269,0.5
-4.85,5.1,1.0804174724250735e-297,0.5
-4.85,5.2,0,0.5
-4.85,5.3,0,0.5
-4.85,5.4,0,0.5
-4.85,5.5,0,0.5
-4.85,5.6,0,0.5
-4.85,5.7,0,0.5
-4.85,5.8,0,0.5
-4.85,5.9,0,0.5
-4.85,6.0,0,0.5
-4.85,6.1,0,0.5
-4.85,6.2,0,0.5
-4.85,6.3,0,0.5
-4.85,6.4,0,0.5
-4.85,6.5,0,0.5
-4.85,6.6,0,0.5
-4.85,6.7,0,0.5
-4.85,6.8,0,0.5
-4.85,6.9,0,0.5
-4.85,7.0,0,0.5
-4.85,7.1,0,0.5
-4.85,7.2,0,0.5
-4.85,7.3,0,0.5
-4.85,7.4,0,0.5
-4.85,7.5,0,0.5
-4.85,7.6,0,0.5
-4.85,7.7,0,0.5
-4.85,7.8,0,0.5
-4.85,7.9,0,0.5
-4.85,8.0,0,0.5
-4.85,8.1,0,0.5
-4.85,8.2,0,0.5
-4.85,8.3,0,0.5
-4.85,8.4,0,0.5
-4.85,8.5,0,0.5
-4.85,8.6,0,0.5
-4.85,8.7,0,0.5
-4.85,8.8,0,0.5
-4.85,8.9,0,0.5
-4.85,9.0,0,0.5
-4.85,9.1,0,0.5
-4.85,9.2,0,0.5
-4.85,9.3,0,0.5
-4.85,9.4,0,0.5
-4.85,9.5,0,0.5
-4.85,9.6,0,0.5
-4.85,9.7,0,0.5
-4.85,9.8,0,0.5
-4.85,9.9,0,0.5
-4.85,10.0,0,0.5
-4.8,0.0,0.0010057434831520127,0.5040644006878923
-4.8,0.10000000000000007,0.0007656798844014013,0.5028224034480979
-4.8,0.2,0.0005557609906792535,0.5018673779781282
-4.8,0.30000000000000004,0.0003824870048370132,0.50117131105488
-4.8,0.4,0.00024810255374404307,0.5006927192327467
-4.8,0.5,0.00015069595872631135,0.5003839422832519
-4.8,0.6,8.510294753628873e-5,0.5001981136300097
-4.8,0.7000000000000001,4.433981492581758e-5,0.5000944779187
-4.8,0.8000000000000002,2.113321605098779e-5,0.5000413071696171
-4.8,0.9,9.12895414369107e-6,0.5000164121006918
-4.8,1.0,3.5377504569857686e-6,0.5000058685331834
-4.8,1.1,1.2162316876249305e-6,0.5000018684655597
-4.8,1.2,3.663905246018091e-7,0.5000005235184284
-4.8,1.3,9.542059569848864e-8,0.5000001274268622
-4.8,1.4,2.1168294846037253e-8,0.500000026564278
-4.8,1.5,3.792608476954089e-9,0.5000000046691953
-4.8,1.6,5.784109166736221e-10,0.5000000006801342
-4.8,1.7,7.125477672835392e-11,0.5000000000805526
-4.8,1.8,6.9425727059148304e-12,0.5000000000075954
-4.8,1.9,5.2287134117212e-13,0.5000000000005571
-4.8,2.0,2.990881547229683e-14,0.500000000000031
-4.8,2.1,1.3529349904503841e-15,0.5000000000000012
-4.8,2.2,-4.2941350436051036e-17,0.5
-4.8,2.3,7.474504586892184e-19,0.5
-4.8,2.4,9.974015405511569e-21,0.5
-4.8,2.5,8.452641207213046e-23,0.5
-4.8,2.6,4.337241108386564e-25,0.5
-4.8,2.7,1.2782522038348615e-27,0.5
-4.8,2.8,2.0411471907846192e-30,0.5
-4.8,2.9,1.6557552830893505e-33,0.5
-4.8,3.0,6.3540039438313705e-37,0.5
-4.8,3.1,1.0662041116954206e-40,0.5
-4.8,3.2,7.171189954182476e-45,0.5
-4.8,3.3,1.7560740645989827e-49,0.5
-4.8,3.4,1.407817106316219e-54,0.5
-4.8,3.5,3.285481356642341e-60,0.5
-4.8,3.6,1.960354958297727e-66,0.5
-4.8,3.7,2.5909488177366234e-73,0.5
-4.8,3.8,6.473292935244708e-81,0.5
-4.8,3.9,2.5659446605376822e-89,0.5
-4.8,4.0,1.3296461818237562e-98,0.5
-4.8,4.1,7.272088552483852e-109,0.5
-4.8,4.2,3.31367700639738e-120,0.5
-4.8,4.3,9.686817213803567e-133,0.5
-4.8,4.4,1.3608998744061927e-146,0.5
-4.8,4.5,6.677384082756085e-162,0.5
-4.8,4.6,8.040847730805055e-179,0.5
-4.8,4.7,1.609083305125857e-197,0.5
-4.8,4.8,3.4777096668250985e-218,0.5
-4.8,4.9,5.042211966087291e-241,0.5
-4.8,5.0,2.897241847778042e-266,0.5
-4.8,5.1,3.687801211556951e-294,0.5
-4.8,5.2,0,0.5
-4.8,5.3,0,0.5
-4.8,5.4,0,0.5
-4.8,5.5,0,0.5
-4.8,5.6,0,0.5
-4.8,5.7,0,0.5
-4.8,5.8,0,0.5
-4.8,5.9,0,0.5
-4.8,6.0,0,0.5
-4.8,6.1,0,0.5
-4.8,6.2,0,0.5
-4.8,6.3,0,0.5
-4.8,6.4,0,0.5
-4.8,6.5,0,0.5
-4.8,6.6,0,0.5
-4.8,6.7,0,0.5
-4.8,6.8,0,0.5
-4.8,6.9,0,0.5
-4.8,7.0,0,0.5
-4.8,7.1,0,0.5
-4.8,7.2,0,0.5
-4.8,7.3,0,0.5
-4.8,7.4,0,0.5
-4.8,7.5,0,0.5
-4.8,7.6,0,0.5
-4.8,7.7,0,0.5
-4.8,7.8,0,0.5
-4.8,7.9,0,0.5
-4.8,8.0,0,0.5
-4.8,8.1,0,0.5
-4.8,8.2,0,0.5
-4.8,8.3,0,0.5
-4.8,8.4,0,0.5
-4.8,8.5,0,0.5
-4.8,8.6,0,0.5
-4.8,8.7,0,0.5
-4.8,8.8,0,0.5
-4.8,8.9,0,0.5
-4.8,9.0,0,0.5
-4.8,9.1,0,0.5
-4.8,9.2,0,0.5
-4.8,9.3,0,0.5
-4.8,9.4,0,0.5
-4.8,9.5,0,0.5
-4.8,9.6,0,0.5
-4.8,9.7,0,0.5
-4.8,9.8,0,0.5
-4.8,9.9,0,0.5
-4.8,10.0,0,0.5
-4.75,0.0,0.001056980100543291,0.5042700847483905
-4.75,0.10000000000000007,0.0008087499581375802,0.5029807617843833
-4.75,0.2,0.0005903373476934429,0.501983567696234
-4.75,0.30000000000000004,0.0004088412483432513,0.5012521522106919
-4.75,0.4,0.00026705495721812754,0.5007457673480665
-4.75,0.5,0.00016346903702818454,0.5004165767535262
-4.75,0.6,9.31122735655636e-5,0.5002168113123715
-4.75,0.7000000000000001,4.897600581841299e-5,0.5001043828769582
-4.75,0.8000000000000002,2.3589581998911816e-5,0.5000461200611821
-4.75,0.9,1.0309154822197017e-5,0.5000185384672732
-4.75,1.0,4.046768521571551e-6,0.5000067145132875
-4.75,1.1,1.4111187730709828e-6,0.5000021683589337
-4.75,1.2,4.318212115854825e-7,0.5000006171439344
-4.75,1.3,1.144255254364145e-7,0.5000001528407659
-4.75,1.4,2.5874801568643087e-8,0.5000000324780859
-4.75,1.5,4.735360474989355e-9,0.5000000058307199
-4.75,1.6,7.392871038864551e-10,0.5000000008694163
-4.75,1.7,9.345861440948374e-11,0.5000000001056654
-4.75,1.8,9.369965350399635e-12,0.5000000000102519
-4.75,1.9,7.282801823401608e-13,0.500000000000776
-4.75,2.0,4.294584080051327e-14,0.5000000000000446
-4.75,2.1,1.988228519223109e-15,0.5000000000000019
-4.75,2.2,-2.1979951530622215e-17,0.5000000000000001
-4.75,2.3,1.2255933867565934e-18,0.5
-4.75,2.4,1.7227448386546456e-20,0.5
-4.75,2.5,1.5463427834733796e-22,0.5
-4.75,2.6,8.45501995794393e-25,0.5
-4.75,2.7,2.673048161748254e-27,0.5
-4.75,2.8,4.612753979357075e-30,0.5
-4.75,2.9,4.0768211972802436e-33,0.5
-4.75,3.0,1.7200024230040735e-36,0.5
-4.75,3.1,3.204840471314321e-40,0.5
-4.75,3.2,2.420056021407295e-44,0.5
-4.75,3.3,6.7349115569413815e-49,0.5
-4.75,3.4,6.219177302724325e-54,0.5
-4.75,3.5,1.6968387954672244e-59,0.5
-4.75,3.6,1.2032823066216815e-65,0.5
-4.75,3.7,1.9247298595854275e-72,0.5
-4.75,3.8,5.937870402951123e-80,0.5
-4.75,3.9,2.9715313887459783e-88,0.5
-4.75,4.0,1.9922457416240414e-97,0.5
-4.75,4.1,1.4484570544154425e-107,0.5
-4.75,4.2,9.040648459735042e-119,0.5
-4.75,4.3,3.7418323058039477e-131,0.5
-4.75,4.4,7.720145001458341e-145,0.5
-4.75,4.5,5.792343674285152e-160,0.5
-4.75,4.6,1.115313913439944e-176,0.5
-4.75,4.7,3.749384143160658e-195,0.5
-4.75,4.8,1.4376541033885079e-215,0.5
-4.75,4.9,3.927781152727038e-238,0.5
-4.75,5.0,4.545853085955455e-263,0.5
-4.75,5.1,1.2545430187542541e-290,0.5
-4.75,5.2,4.377e-321,0.5
-4.75,5.3,0,0.5
-4.75,5.4,0,0.5
-4.75,5.5,0,0.5
-4.75,5.6,0,0.5
-4.75,5.7,0,0.5
-4.75,5.8,0,0.5
-4.75,5.9,0,0.5
-4.75,6.0,0,0.5
-4.75,6.1,0,0.5
-4.75,6.2,0,0.5
-4.75,6.3,0,0.5
-4.75,6.4,0,0.5
-4.75,6.5,0,0.5
-4.75,6.6,0,0.5
-4.75,6.7,0,0.5
-4.75,6.8,0,0.5
-4.75,6.9,0,0.5
-4.75,7.0,0,0.5
-4.75,7.1,0,0.5
-4.75,7.2,0,0.5
-4.75,7.3,0,0.5
-4.75,7.4,0,0.5
-4.75,7.5,0,0.5
-4.75,7.6,0,0.5
-4.75,7.7,0,0.5
-4.75,7.8,0,0.5
-4.75,7.9,0,0.5
-4.75,8.0,0,0.5
-4.75,8.1,0,0.5
-4.75,8.2,0,0.5
-4.75,8.3,0,0.5
-4.75,8.4,0,0.5
-4.75,8.5,0,0.5
-4.75,8.6,0,0.5
-4.75,8.7,0,0.5
-4.75,8.8,0,0.5
-4.75,8.9,0,0.5
-4.75,9.0,0,0.5
-4.75,9.1,0,0.5
-4.75,9.2,0,0.5
-4.75,9.3,0,0.5
-4.75,9.4,0,0.5
-4.75,9.5,0,0.5
-4.75,9.6,0,0.5
-4.75,9.7,0,0.5
-4.75,9.8,0,0.5
-4.75,9.9,0,0.5
-4.75,10.0,0,0.5
-4.7,0.0,0.0011108091520523875,0.504486032270181
-4.7,0.10000000000000007,0.0008542213278801185,0.5031478974101278
-4.7,0.2,0.0006270438806074872,0.5021069103692324
-4.7,0.30000000000000004,0.0004369934756350448,0.501338521219107
-4.7,0.4,0.0002874414748232168,0.5008028448718639
-4.7,0.5,0.00017731533859526288,0.5004519652518213
-4.7,0.6,0.00010186945566900448,0.500237262487766
-4.7,0.7000000000000001,5.409356430739607e-5,0.500115320425977
-4.7,0.8000000000000002,2.632969072002347e-5,0.5000514909178874
-4.7,0.9,1.1641101085279928e-5,0.5000209390941092
-4.7,1.0,4.628672970891924e-6,0.5000076819554926
-4.7,1.1,1.6371015907327805e-6,0.5000025162114582
-4.7,1.2,5.0888902773397e-7,0.5000007274584048
-4.7,1.3,1.3720114091541224e-7,0.5000001833080924
-4.7,1.4,3.1623907584637174e-8,0.500000039704863
-4.7,1.5,5.911828212791988e-9,0.5000000072804703
-4.7,1.6,9.448001047550741e-10,0.5000000011112556
-4.7,1.7,1.2256589206143042e-10,0.5000000001385907
-4.7,1.8,1.2644180304354848e-11,0.5000000000138357
-4.7,1.9,1.0142587884026825e-12,0.5000000000010808
-4.7,2.0,6.194123913163005e-14,0.5000000000000644
-4.7,2.1,2.8600161950584327e-15,0.5000000000000029
-4.7,2.2,1.7096413443093203e-16,0.5000000000000001
-4.7,2.3,2.009172541604181e-18,0.5
-4.7,2.4,2.974876291809142e-20,0.5
-4.7,2.5,2.828168690794621e-22,0.5
-4.7,2.6,1.647744768441731e-24,0.5
-4.7,2.7,5.588020914513139e-27,0.5
-4.7,2.8,1.0420598142137239e-29,0.5
-4.7,2.9,1.0034076579794705e-32,0.5
-4.7,3.0,4.653963946065203e-36,0.5
-4.7,3.1,9.628643878636051e-40,0.5
-4.7,3.2,8.162636360989816e-44,0.5
-4.7,3.3,2.5814736751141477e-48,0.5
-4.7,3.4,2.745615628290559e-53,0.5
-4.7,3.5,8.757352378225636e-59,0.5
-4.7,3.6,7.380035908432579e-65,0.5
-4.7,3.7,1.4285745462789258e-71,0.5
-4.7,3.8,5.441499661008642e-79,0.5
-4.7,3.9,3.437572613724982e-87,0.5
-4.7,4.0,2.981533626726062e-96,0.5
-4.7,4.1,2.881299724068574e-106,0.5
-4.7,4.2,2.4630093503457704e-117,0.5
-4.7,4.3,1.4431088555039027e-129,0.5
